Địa phương,Năm,Tỷ lệ dân số từ 15 tuổi trở lên biết chữ (%),Tỷ lệ lao động từ 15 tuổi trở lên đang làm việc trong nền kinh tế đã qua đào tạo (%),Tỷ lệ lao động từ 15 tuổi trở lên đang làm việc so với tổng dân số (%),Lực lượng lao động từ 15 tuổi trở lên (Nghìn người),"Bình quân Thu nhập từ tiền lương, tiền công","Bình quân Thu nhập từ nông, lâm nghiệp, thuỷ sản","Bình quân Thu nhập phi nông, lâm nghiệp, thuỷ sản",Bình quân Các khoản thu nhập khác,Bình quân thu nhập Nhóm 1,Bình quân thu nhập Nhóm 2,Bình quân thu nhập ,Bình quân thu nhập Nhóm 4,Bình quân thu nhập Nhóm 5,Tuổi kết hôn trung bình lần đầu,Nam,Nông thôn,Nữ,Thành thị,Tỷ lệ tăng tự nhiên (‰),Tỷ suất chết thô (‰),Tỷ suất sinh thô (‰),Trung bình số con/phụ nữ,Chỉ số giá sinh hoạt theo không gian theo địa phương (Hà Nội = 100%) (%),Số vụ ly hôn,Số nam/100 nữ,Tỷ suất di cư thuần (‰),Số lượng Kết hôn lần đầu,Số lượng Kết hôn lần thứ 2 trở lên,Thu nhập bình quân đầu người một tháng - Nhóm thu nhập thấp nhất,Thu nhập bình quân đầu người một tháng - Nhóm thu nhập cao nhất,Nhóm thu nhập cao nhất so với nhóm thu nhập thấp nhất (Lần),Diện tích(Km2),Dân số trung bình (Nghìn người),Mật độ dân số (Người/km2),Vùng,Bình quân dân số (Nghìn người),Tỷ lệ dân số Nông thôn,Tỷ lệ dân số Thành thị,Phân bố dân số
Cao Bằng,2020,86.6,21.8,64.88,348.99,,,,,472580,771810,1219870,2493880,5982130,22.53,267.01,397.07,266.07,136.01,5.85,10.31,16.16,2.42,94.26,52,100.35,-9.33,4018,277,472600,5982100,12.7,6700.26,533.09,80,Trung du và miền núi phía Bắc,533.08,0.744860059,0.255139941,Hơn 2/3 dân số sống tại Nông thôn
Cao Bằng,2021,85.36,24.7,29.02,163.3,,,,,409520,791660,1113590,2564650,6514060,23.01,271.59,404.04,270.63,138.18,9.24,7.18,16.41,2.4,93.52,58,100.35,-4.79,3735,260,409500,6514100,15.9,6700.39,542.22,81,Trung du và miền núi phía Bắc,542.22,0.745158792,0.254841208,Hơn 2/3 dân số sống tại Nông thôn
Cà Mau,2007,,,49.3,625.5,,,,,,,,,,,589.5,954.9,605.7,240.3,14.4,4.8,19.2,2,,,97.3,-6.6,,,,,,,,,Đồng bằng sông Cửu Long,1195.2,0.798945783,0.201054217,Hơn 2/3 dân số sống tại Nông thôn
Cà Mau,2008,,5.3,51.9,654.1,,,,,,,,,,,600.3,957.7,601.4,244,13.7,4.4,18.1,2.01,,,99.8,-5.3,,,,,,,,,Đồng bằng sông Cửu Long,1201.7,0.796954315,0.203045685,Hơn 2/3 dân số sống tại Nông thôn
Cà Mau,2009,95.5,6.6,53.2,675.6,,,,,,,,,,,606.7,949.7,600.4,257.4,10.8,5.6,16.4,1.75,,,101,-11.4,,,,,,,,,Đồng bằng sông Cửu Long,1207.1,0.78676166,0.21323834,Hơn 2/3 dân số sống tại Nông thôn
Cà Mau,2010,95.9,5.7,54.1,672.6,314600,531200,245200,159000,363000,675000,947000,1375000,2886000,24.8,606.52,947.04,599.32,258.8,9.3,5.6,14.8,1.64,83.61,,101.2,-27.2,,,363000,2886000,7.9,,,,Đồng bằng sông Cửu Long,1205.84,0.785377828,0.214622172,Hơn 2/3 dân số sống tại Nông thôn
Cà Mau,2011,95.7,5.6,55,677.9,,,,,,,,,,,606.32,944.3,598.18,260.2,9.2,5.8,15,1.73,,,101.36,-12.1,,,,,,5294.9,1210,228.52,Đồng bằng sông Cửu Long,1204.5,0.783976754,0.216023246,Hơn 2/3 dân số sống tại Nông thôn
Cà Mau,2012,96,5.2,56.6,688.7,502000,673000,366000,238000,578000,887000,1192000,1646000,4565000,,606.27,941.8,597.19,261.66,9.5,5.3,14.8,1.62,84.03,,101.52,-5.8,,,578000,4565000,7.9,5294.9,1212.1,228.92,Đồng bằng sông Cửu Long,1203.46,0.782576903,0.217423097,Hơn 2/3 dân số sống tại Nông thôn
Cà Mau,2013,95.5,7.4,55.6,685.3,,,,,,,,,,24.6,606.04,939.01,596.04,263.06,8.7,6,14.6,1.7,84.73,679,101.68,-8.5,,,,,,5294.9,1214.2,229.32,Đồng bằng sông Cửu Long,1202.07,0.781160831,0.218839169,Hơn 2/3 dân số sống tại Nông thôn
Cà Mau,2014,96,7.42,56.4,691.94,564000,914000,388000,288000,648000,1118000,1576000,2277000,5130000,24.5,605.83,936.25,594.9,264.48,6.4,7.4,13.8,1.65,85.24,662,101.84,-13.6,,,648000,5130000,7.9,5294.9,1216.4,230,Đồng bằng sông Cửu Long,1200.73,0.779733995,0.220266005,Hơn 2/3 dân số sống tại Nông thôn
Cà Mau,2015,95.6,10.2,55.6,682.3,,,,,,,,,,24.6,605.7,933.6,593.8,266,8.2,5.4,13.7,1.8,88.42,1076,102,-7.2,,,,,,5294.9,1218.9,230,Đồng bằng sông Cửu Long,1199.6,0.77825942,0.22174058,Hơn 2/3 dân số sống tại Nông thôn
Cà Mau,2016,95.3,10.5,55.8,684.7,627000,945000,513000,287000,718000,1194000,1660000,2380000,5923000,24.4,605.5,930.8,592.6,267.3,9,4.8,13.9,1.85,93.59,872,102.2,-8.2,,,718000,5923000,8.3,5221.2,1222.6,234,Đồng bằng sông Cửu Long,1198.1,0.776896753,0.223103247,Hơn 2/3 dân số sống tại Nông thôn
Cà Mau,2017,95.8,10.4,55.5,683.7,,,,,,,,,,24.9,605.3,928.2,591.6,268.8,5.3,6.6,11.9,1.65,91.51,1121,102.3,-9.3,,,,,,5221.2,1226.3,235,Đồng bằng sông Cửu Long,1197,0.775438596,0.224561404,Hơn 2/3 dân số sống tại Nông thôn
Cà Mau,2018,96.4,12.5,56.3,688.3,798000,1015000,813000,360000,755000,1741000,2395000,3238000,6809000,26.2,605.1,925.3,590.4,270.3,7.3,5,12.3,1.75,91.43,1117,102.5,-6.6,10896,612,755000,6809000,9,5221.2,1229.6,236,Đồng bằng sông Cửu Long,1195.6,0.773921044,0.226078956,Hơn 2/3 dân số sống tại Nông thôn
Cà Mau,2019,96.6,12.3,56.7,690.9,1112000,1000000,845000,258000,812000,1639000,2604000,3611000,7442000,24.8,604.9,922.6,589.4,271.7,7.5,5.4,12.9,1.8,93.42,1179,102.63,-12.5,9941,826,812000,7442000,9.2,5221.2,1194.3,229,Đồng bằng sông Cửu Long,1194.3,0.772502721,0.227497279,Hơn 2/3 dân số sống tại Nông thôn
Cà Mau,2020,96.24,13.02,55,669.77,,,,,913430,1535120,2427320,3362940,6958330,25.65,604.74,922.78,589.16,271.11,7.95,5.21,13.16,1.85,92.08,1112,102.64,-15.15,8776,1346,913400,6958300,7.6,5221.19,1193.89,229,Đồng bằng sông Cửu Long,1193.89,0.772918778,0.227081222,Hơn 2/3 dân số sống tại Nông thôn
Cà Mau,2021,96.07,14.08,48.25,596.8,,,,,922240,1700360,2627270,3679790,7291830,26,612.26,933.4,596.49,275.35,7.37,5.39,12.77,1.86,90.83,656,102.64,-19.39,5406,876,922200,7291800,7.9,5274.51,1208.75,229,Đồng bằng sông Cửu Long,1208.75,0.772202689,0.227797311,Hơn 2/3 dân số sống tại Nông thôn
Cần Thơ,2007,,,54.6,680.6,,,,,,,,,,,577.6,581.4,594.4,590.6,10.4,4.5,15,1.64,,,97.2,-0.6,,,,,,,,,Đồng bằng sông Cửu Long,1172,0.496075085,0.503924915,Tương đối cân bằng giữa Thành thị và Nông thôn
Cần Thơ,2008,,11,56.1,684.4,,,,,,,,,,,583.6,565.4,597.3,615.5,10.7,4.7,15.4,1.75,,,97.7,-2.8,,,,,,,,,Đồng bằng sông Cửu Long,1180.9,0.478787366,0.521212634,Tương đối cân bằng giữa Thành thị và Nông thôn
Cần Thơ,2009,94.2,14.3,52.3,656,,,,,,,,,,,589.7,405.4,598.9,783.2,9.2,6.7,15.9,1.72,,,98.5,0.6,,,,,,,,,Đồng bằng sông Cửu Long,1188.6,0.341073532,0.658926468,Tương đối cân bằng giữa Thành thị và Nông thôn
Cần Thơ,2010,94.4,11.7,55.1,677.3,642300,282200,436200,179700,516000,894000,1220000,1624000,3437000,25.3,591.5,402.13,600.8,790.17,7.9,6.7,14.6,1.62,90.88,,98.45,-1.7,,,516000,3437000,6.7,,,,Đồng bằng sông Cửu Long,1192.3,0.337272499,0.662727501,Tương đối cân bằng giữa Thành thị và Nông thôn
Cần Thơ,2011,95.1,12.9,55.4,687.5,,,,,,,,,,,593.28,398.82,602.66,797.12,8.2,5.9,14.1,1.62,,,98.44,-4.1,,,,,,1409,1208,857.35,Đồng bằng sông Cửu Long,1195.94,0.333478268,0.666521732,Tương đối cân bằng giữa Thành thị và Nông thôn
Cần Thơ,2012,95.4,14.9,56,695.5,933000,411000,620000,361000,767000,1298000,1793000,2481000,5264000,,595.73,395.9,605.2,805.03,7.1,6.8,13.9,1.58,89.82,,98.44,1.8,,,767000,5264000,6.9,1409,1218.3,864.66,Đồng bằng sông Cửu Long,1200.93,0.329661179,0.670338821,Hơn 2/3 dân số sống tại Thành thị
Cần Thơ,2013,94.5,15.3,55.5,685.6,,,,,,,,,,25.5,596.85,392.04,606.38,811.19,9.1,6.6,15.7,1.81,89.24,398,98.43,-4,,,,,,1409,1228.5,871.89,Đồng bằng sông Cửu Long,1203.23,0.325822993,0.674177007,Hơn 2/3 dân số sống tại Thành thị
Cần Thơ,2014,94.2,17.39,55.1,682.41,1074000,359000,895000,345000,924000,1557000,2109000,2825000,5939000,25.7,598.06,388.19,607.66,817.53,9.5,6.7,16.2,1.89,89.33,459,98.42,-3.2,,,924000,5939000,6.4,1408.9,1238.3,879,Đồng bằng sông Cửu Long,1205.72,0.321957005,0.678042995,Hơn 2/3 dân số sống tại Thành thị
Cần Thơ,2015,94.2,19.1,58.8,723.2,,,,,,,,,,25.1,599.4,384.4,609.1,824.1,7,7.3,14.3,1.88,92.14,575,98.4,-4.6,,,,,,1408.9,1248,886,Đồng bằng sông Cửu Long,1208.5,0.318080265,0.681919735,Hơn 2/3 dân số sống tại Thành thị
Cần Thơ,2016,94.2,20.4,58.5,723.1,1270000,443000,1135000,517000,1176000,1903000,2500000,3382000,7917000,26.3,602.4,381.6,612.2,833,9.5,6.1,15.6,2.01,96.88,583,98.4,-2.7,,,1176000,7917000,6.7,1439.2,1257.9,874,Đồng bằng sông Cửu Long,1214.6,0.314177507,0.685822493,Hơn 2/3 dân số sống tại Thành thị
Cần Thơ,2017,95.4,21.1,58.3,726.2,,,,,,,,,,26.6,606.3,379.8,616.1,842.7,6,6.3,12.3,1.64,94.24,607,98.4,4.7,,,,,,1439,1272.8,885,Đồng bằng sông Cửu Long,1222.5,0.310674847,0.689325153,Hơn 2/3 dân số sống tại Thành thị
Cần Thơ,2018,93.9,24.2,58.5,731,1964000,498000,1073000,837000,1476000,2371000,3214000,4238000,10575000,26.2,608.9,377.1,618.8,850.6,5.9,6,11.9,1.66,94.22,794,98.4,-1.8,8412,564,1476000,10575000,7.2,1439,1282.3,891,Đồng bằng sông Cửu Long,1227.7,0.30715973,0.69284027,Hơn 2/3 dân số sống tại Thành thị
Cần Thơ,2019,96.5,16.4,56.7,720.2,2255000,397000,1343000,718000,1494000,2483000,3778000,5037000,10799000,26.9,612.9,374.7,623,861.3,7.6,5.9,13.5,1.66,94.61,706,98.39,1.8,7515,1145,1494000,10799000,7.2,1439,1236,859,Đồng bằng sông Cửu Long,1236,0.30315534,0.69684466,Hơn 2/3 dân số sống tại Thành thị
Cần Thơ,2020,95.4,20.6,55.88,716.78,,,,,1470660,2692070,3598170,4754490,12709530,27.42,616.14,371.89,624.59,868.84,7.58,5.7,13.29,1.74,94.16,741,98.65,-2.2,6459,1179,1470700,12709500,8.6,1438.96,1240.73,862,Đồng bằng sông Cửu Long,1240.73,0.299734834,0.700265166,Hơn 2/3 dân số sống tại Thành thị
Cần Thơ,2021,95.87,24.18,45.14,584.3,,,,,1841560,2744890,3584380,5904350,9989630,28.02,619.12,370.07,627.88,876.92,6.05,7.15,13.2,1.68,93.1,603,98.6,-0.91,4212,823,1841600,9989600,5.4,1440.4,1246.99,866,Đồng bằng sông Cửu Long,1246.99,0.296770624,0.703229376,Hơn 2/3 dân số sống tại Thành thị
Gia Lai,2007,,,52.4,662.4,,,,,,,,,,,623.7,884.2,601.8,341.3,17,6.4,23.4,2.97,,,103.6,1,,,,,,,,,Tây Nguyên,1225.5,0.721501428,0.278498572,Hơn 2/3 dân số sống tại Nông thôn
Gia Lai,2008,,11.8,53.8,689.7,,,,,,,,,,,624.7,898.4,626.6,352.9,16.9,6.3,23.2,2.86,,,99.7,-0.4,,,,,,,,,Tây Nguyên,1251.3,0.717973308,0.282026692,Hơn 2/3 dân số sống tại Nông thôn
Gia Lai,2009,81.8,9.8,54.4,710.5,,,,,,,,,,,643.2,915,637.8,366,17.6,6.3,23.9,2.88,,,100.8,2.1,,,,,,,,,Tây Nguyên,1281,0.714285714,0.285714286,Hơn 2/3 dân số sống tại Nông thôn
Gia Lai,2010,82.5,7.5,56.4,749.3,360000,386000,229000,52000,287000,478000,760000,1262000,2346000,23,656.99,934.44,651.86,374.41,17.5,6.3,23.8,2.9,91.65,,100.79,-2.2,,,287000,2346000,8.2,,,,Tây Nguyên,1308.85,0.713939718,0.286060282,Hơn 2/3 dân số sống tại Nông thôn
Gia Lai,2011,83.9,9.2,59,794,,,,,,,,,,,670.54,953.37,665.56,382.73,17.2,6,23.2,2.85,,,100.75,-1.9,,,,,,15536.9,1321.7,85.07,Tây Nguyên,1336.1,0.71354689,0.28645311,Hơn 2/3 dân số sống tại Nông thôn
Gia Lai,2012,87.9,10.3,59.1,808,483000,659000,341000,80000,409000,728000,1256000,2009000,3417000,,682.38,969.86,677.58,390.1,13.2,6.2,19.4,2.36,91.46,,100.71,-0.4,,,409000,3417000,8.3,15536.9,1340.5,86.28,Tây Nguyên,1359.96,0.713153328,0.286846672,Hơn 2/3 dân số sống tại Nông thôn
Gia Lai,2013,83.9,10.4,60.1,833.4,,,,,,,,,,23.4,693.79,985.73,689.18,397.25,13.7,6.4,20,2.48,89.45,134,100.67,-0.1,,,,,,15536.9,1359.1,87.48,Tây Nguyên,1382.98,0.712757957,0.287242043,Hơn 2/3 dân số sống tại Nông thôn
Gia Lai,2014,85.6,10.91,60.2,849.33,661000,699000,318000,82000,434000,800000,1493000,2351000,3705000,23.6,703.76,999.54,699.36,403.59,12.7,5.9,18.6,2.27,90.12,200,100.63,-1.8,,,434000,3705000,8.5,15536.9,1377.8,89,Tây Nguyên,1403.13,0.712364499,0.287635501,Hơn 2/3 dân số sống tại Nông thôn
Gia Lai,2015,84,10.9,60.3,865.1,,,,,,,,,,23.3,715.3,1015.6,711.1,410.8,12.6,7.1,19.7,2.45,90.9,240,100.6,-0.6,,,,,,15536.9,1397.4,90,Tây Nguyên,1426.4,0.712002243,0.287997757,Hơn 2/3 dân số sống tại Nông thôn
Gia Lai,2016,83.9,11,59.6,870.1,765000,838000,268000,79000,535000,845000,1327000,2279000,4790000,23.7,725.5,1029.7,721.6,417.4,12.3,6.6,18.9,2.38,94.3,183,100.6,-1.8,,,535000,4790000,9,15510.8,1417.3,91,Tây Nguyên,1447.1,0.711561053,0.288438947,Hơn 2/3 dân số sống tại Nông thôn
Gia Lai,2017,84.8,11,59.5,879.4,,,,,,,,,,23.9,736.3,1044.7,732.6,424.3,12.2,6,18.2,2.36,92.99,233,100.5,-2.8,,,,,,15511,1437.4,93,Tây Nguyên,1469,0.711164057,0.288835943,Hơn 2/3 dân số sống tại Nông thôn
Gia Lai,2018,85.4,10.4,59.2,890,1141000,865000,434000,146000,677000,1051000,1796000,2994000,6426000,24.1,749.6,1063.1,746.1,432.6,14.2,3.4,17.5,2.27,92.34,188,100.5,-1.4,13512,795,677000,6426000,9.5,15511,1458.5,94,Tây Nguyên,1495.7,0.710770877,0.289229123,Hơn 2/3 dân số sống tại Nông thôn
Gia Lai,2019,85.9,12.5,59.1,908.1,1210000,692000,746000,108000,691000,1069000,2022000,3262000,6751000,22.8,761.7,1079.9,758.4,440.3,14.3,5.5,19.8,2.49,93.45,183,100.43,-2.4,12419,842,691000,6751000,9.8,15511,1520.2,98,Tây Nguyên,1520.2,0.710367057,0.289632943,Hơn 2/3 dân số sống tại Nông thôn
Gia Lai,2020,84.58,14.9,57.36,898.84,,,,,646870,1064440,1571460,2738510,5578710,23.51,773.09,1094.62,768.73,447.21,14.61,5.3,19.91,2.47,90.97,203,100.57,-4.9,11347,968,646900,5578700,8.6,15510.99,1541.83,99,Tây Nguyên,1541.83,0.709948568,0.290051432,Hơn 2/3 dân số sống tại Nông thôn
Gia Lai,2021,85.99,15.9,57.94,915.6,,,,,601720,1111020,1415280,2504850,6038920,23.58,787.06,1110.78,782.66,458.94,14.24,4.59,18.83,2.44,89.04,260,100.56,-5.4,8922,804,601700,6038900,10,15510.13,1569.72,101,Tây Nguyên,1569.72,0.707629386,0.292370614,Hơn 2/3 dân số sống tại Nông thôn
Hoà Bình,2007,,,62.4,559.3,,,,,,,,,,,434,740.5,438.8,132.3,11.8,5.5,17.4,2.06,,,98.9,-0.4,,,,,,,,,Trung du và miền núi phía Bắc,872.8,0.848418882,0.151581118,Hơn 2/3 dân số sống tại Nông thôn
Hoà Bình,2008,,11.8,61.3,488.5,,,,,,,,,,,379.5,654.4,398.5,123.6,10.6,6.1,16.7,2.01,,,95.2,-0.6,,,,,,,,,Trung du và miền núi phía Bắc,778,0.841131105,0.158868895,Hơn 2/3 dân số sống tại Nông thôn
Hoà Bình,2009,95.4,14.2,62.6,500.9,,,,,,,,,,,390.2,668.6,396.2,117.8,11.4,6.4,17.8,1.98,,,98.5,-3.3,,,,,,,,,Trung du và miền núi phía Bắc,786.4,0.850203459,0.149796541,Hơn 2/3 dân số sống tại Nông thôn
Hoà Bình,2010,95.9,15,63.2,507.9,379000,286000,85000,79000,265000,425000,614000,924000,1916000,23.5,394.39,674.65,399.83,119.57,10.4,6.4,16.7,1.98,89.87,,98.64,-2,,,265000,1916000,7.2,,,,Trung du và miền núi phía Bắc,794.22,0.849449775,0.150550225,Hơn 2/3 dân số sống tại Nông thôn
Hoà Bình,2011,97,16,66.6,538.8,,,,,,,,,,,398.64,680.81,403.54,121.37,10.7,7,17.6,2.03,,,98.78,-2.2,,,,,,4608.7,799,173.37,Trung du và miền núi phía Bắc,802.18,0.848699793,0.151300207,Hơn 2/3 dân số sống tại Nông thôn
Hoà Bình,2012,96.4,16.9,66.8,540.2,570000,404000,136000,110000,378000,626000,978000,1433000,2686000,,402.04,685.5,406.39,122.93,11.3,6.6,17.9,2.08,89.18,,98.93,-3.7,,,378000,2686000,7.1,4608.7,805.2,174.71,Trung du và miền núi phía Bắc,808.43,0.847939834,0.152060166,Hơn 2/3 dân số sống tại Nông thôn
Hoà Bình,2013,97.5,18.2,67.9,552,,,,,,,,,,23.3,404.49,688.55,408.25,124.2,8.9,7,15.9,1.9,90.85,73,99.08,-8.1,,,,,,4608.7,810.3,175.82,Trung du và miền núi phía Bắc,812.75,0.847185481,0.152814519,Hơn 2/3 dân số sống tại Nông thôn
Hoà Bình,2014,96.7,16.38,67.1,551.65,707000,459000,279000,153000,479000,875000,1267000,1892000,3465000,23.4,408.22,693.74,411.4,125.88,12.6,6.9,19.5,2.3,90.93,81,99.23,-5,,,479000,3465000,7.2,4608.7,817.4,177,Trung du và miền núi phía Bắc,819.62,0.846416632,0.153583368,Hơn 2/3 dân số sống tại Nông thôn
Hoà Bình,2015,96.8,17.4,65.3,543.4,,,,,,,,,,23,413,700.7,415.6,127.9,10.6,10.4,21,2.84,94.83,111,99.4,-1.6,,,,,,4608.7,824.3,179,Trung du và miền núi phía Bắc,828.6,0.845643254,0.154356746,Hơn 2/3 dân số sống tại Nông thôn
Hoà Bình,2016,96.6,18.3,64.5,542.2,856000,539000,333000,197000,574000,991000,1524000,2254000,4301000,22.9,417.5,707.1,419.5,129.8,11.5,7.3,18.7,2.56,96.95,112,99.5,0.3,,,574000,4301000,7.5,4590.7,831.3,181,Trung du và miền núi phía Bắc,836.9,0.844903812,0.155096188,Hơn 2/3 dân số sống tại Nông thôn
Hoà Bình,2017,97.5,17.8,64,543.3,,,,,,,,,,23,421.8,713.2,423.2,131.7,8.5,7.1,15.6,2.3,94.76,138,99.7,-0.4,,,,,,4590.6,838.8,183,Trung du và miền núi phía Bắc,844.9,0.844123565,0.155876435,Hơn 2/3 dân số sống tại Nông thôn
Hoà Bình,2018,97,17.4,64.7,553,1173000,486000,305000,331000,653000,1214000,1796000,2647000,5185000,23.2,424.8,717.2,425.6,133.2,8.2,7.7,16,2.42,94.4,124,99.8,-3.7,5058,111,653000,5185000,7.9,4590.6,846.1,184,Trung du và miền núi phía Bắc,850.4,0.843367827,0.156632173,Hơn 2/3 dân số sống tại Nông thôn
Hoà Bình,2019,96.3,17.4,64.6,556.2,1373000,477000,375000,270000,684000,1232000,2055000,3022000,5513000,23.7,427.8,721.1,428,134.7,7.4,7.8,15.3,2.34,95.26,105,99.97,-5.4,4553,592,684000,5513000,8.1,4590.6,855.8,186,Trung du và miền núi phía Bắc,855.8,0.842603412,0.157396588,Hơn 2/3 dân số sống tại Nông thôn
Hoà Bình,2020,97.18,18.62,61.4,531.02,,,,,754890,1399760,2166990,3418040,5826490,24.31,432.76,655.81,428.46,205.41,7.84,7.51,15.35,2.29,94.25,80,101,-11.32,4027,732,754900,5826500,7.7,4590.57,861.22,188,Trung du và miền núi phía Bắc,861.22,0.761489515,0.238510485,Hơn 2/3 dân số sống tại Nông thôn
Hoà Bình,2021,97.5,23.63,53.25,476.3,,,,,963960,1368940,2185980,3037860,5680720,24.59,438.04,662.94,433.68,208.79,7.01,6.68,13.69,2.19,93.63,101,101,-10.4,3968,810,964000,5680700,5.9,4590.3,871.72,190,Trung du và miền núi phía Bắc,871.73,0.760487766,0.239512234,Hơn 2/3 dân số sống tại Nông thôn
Hà Giang,2007,,,54,393.6,,,,,,,,,,,349,622.4,355.9,82.5,15.7,7.9,23.6,2.89,,,98.1,-1.2,,,,,,,,,Trung du và miền núi phía Bắc,704.9,0.882962122,0.117037878,Hơn 2/3 dân số sống tại Nông thôn
Hà Giang,2008,,7.6,57.1,417.3,,,,,,,,,,,354.6,631.3,361.6,84.9,17,7.1,24.1,2.86,,,98.1,-1.2,,,,,,,,,Trung du và miền núi phía Bắc,716.2,0.881457693,0.118542307,Hơn 2/3 dân số sống tại Nông thôn
Hà Giang,2009,68.3,9,59.8,438.6,,,,,,,,,,,363.1,633.5,362,91.6,19.5,6.9,26.3,3.08,,,100.3,-0.9,,,,,,,,,Trung du và miền núi phía Bắc,725.1,0.873672597,0.126327403,Hơn 2/3 dân số sống tại Nông thôn
Hà Giang,2010,74.6,10.8,61.8,461.7,193000,317000,61000,38000,259000,347000,452000,583000,1413000,21.4,369.14,632.58,368.62,105.19,20.1,6.9,27,3.05,91.17,,100.14,-17.1,,,259000,1413000,5.5,,,,Trung du và miền núi phía Bắc,737.77,0.85742169,0.14257831,Hơn 2/3 dân số sống tại Nông thôn
Hà Giang,2011,81,10.9,62.3,471,,,,,,,,,,,374.38,636.88,375.16,112.66,15.1,7.7,22.8,2.57,,,99.79,-1.3,,,,,,7914.9,746.6,94.33,Trung du và miền núi phía Bắc,749.54,0.849694479,0.150305521,Hơn 2/3 dân số sống tại Nông thôn
Hà Giang,2012,73.3,9.6,60.8,465.6,274000,440000,76000,60000,349000,440000,574000,833000,2043000,,381.81,648.57,381.69,114.94,15.4,8.4,23.8,2.78,92.3,,100.03,-0.4,,,349000,2043000,5.9,7914.9,761.6,96.22,Trung du và miền núi phía Bắc,763.51,0.849458422,0.150541578,Hơn 2/3 dân số sống tại Nông thôn
Hà Giang,2013,72.4,9.1,64.5,504.9,,,,,,,,,,20.6,390.61,662.08,388.34,116.88,14.1,8.5,22.6,2.7,93.8,55,100.58,0.2,,,,,,7914.9,775.8,98.02,Trung du và miền núi phía Bắc,778.96,0.849953785,0.150046215,Hơn 2/3 dân số sống tại Nông thôn
Hà Giang,2014,73,9.83,63.9,507.54,367000,507000,157000,90000,468000,564000,713000,1100000,2751000,21.5,397.69,673.7,394.79,118.77,12.5,8.1,20.7,2.51,94.3,71,100.74,-0.6,,,468000,2751000,5.9,7914.9,788.8,100,Trung du và miền núi phía Bắc,792.47,0.850126819,0.149873181,Hơn 2/3 dân số sống tại Nông thôn
Hà Giang,2015,74.9,9.5,61,493.7,,,,,,,,,,21.3,406.2,685.8,400.5,120.9,16.4,7.3,23.7,2.93,96.5,76,101.4,-1.5,,,,,,7914.9,802,101,Trung du và miền núi phía Bắc,806.7,0.85013016,0.14986984,Hơn 2/3 dân số sống tại Nông thôn
Hà Giang,2016,75.8,10.1,62.2,511.8,469000,560000,194000,101000,549000,655000,799000,1199000,3430000,21.5,413,697.4,407.4,123,12.4,7.1,19.5,2.42,97.98,76,101.4,-2.5,,,549000,3430000,6.2,7929.2,816.1,103,Trung du và miền núi phía Bắc,820.4,0.850073135,0.149926865,Hơn 2/3 dân số sống tại Nông thôn
Hà Giang,2017,73.9,12.5,61.5,514.8,,,,,,,,,,21.5,420.2,708.5,413.5,125.2,12.1,7.2,19.3,2.49,96.1,63,101.6,-1.7,,,,,,7929.5,833.5,105,Trung du và miền núi phía Bắc,833.7,0.849826077,0.150173923,Hơn 2/3 dân số sống tại Nông thôn
Hà Giang,2018,72.4,13.8,62.7,532.8,667000,517000,376000,166000,695000,791000,983000,1520000,4668000,21.2,427.2,718.9,419.4,127.6,13,7.2,20.3,2.74,96.12,91,101.9,-3.3,7415,207,695000,4668000,6.7,7929.5,846.5,107,Trung du và miền núi phía Bắc,846.5,0.849261666,0.150738334,Hơn 2/3 dân số sống tại Nông thôn
Hà Giang,2019,73.5,12.5,61.5,533,763000,625000,280000,164000,640000,865000,1253000,1926000,4498000,21.4,433.6,720.9,424.5,137.2,10.4,7.9,18.3,2.47,95.37,79,102.14,-3.7,6842,437,640000,4498000,7,7929.5,858.1,108,Trung du và miền núi phía Bắc,858.1,0.840111875,0.159888125,Hơn 2/3 dân số sống tại Nông thôn
Hà Giang,2020,74.73,12.81,60.27,529.36,,,,,623670,885140,1218730,1783570,4691980,21.65,439.65,732.35,430.59,137.89,12.11,7.6,19.71,2.57,94.75,68,102.1,-4.73,7178,439,623700,4692000,7.5,7929.48,870.24,110,Trung du và miền núi phía Bắc,870.24,0.841549458,0.158450542,Hơn 2/3 dân số sống tại Nông thôn
Hà Giang,2021,74.45,19.54,39.51,364.2,,,,,610740,836280,1154670,1823000,5263060,22.23,448.48,746.76,438.6,140.33,11.43,7.53,18.95,2.62,93.22,104,102.25,-7.57,6854,493,610700,5263100,8.6,7927.55,887.09,112,Trung du và miền núi phía Bắc,887.09,0.84180861,0.15819139,Hơn 2/3 dân số sống tại Nông thôn
Hà Nam,2007,,,55.1,446.6,,,,,,,,,,,382.2,718.4,406.2,70,7.5,6.4,13.9,2.18,,,94.1,-8.8,,,,,,,,,Ðồng bằng sông Hồng,788.4,0.911212582,0.088787418,Hơn 2/3 dân số sống tại Nông thôn
Hà Nam,2008,,11.1,58.5,488.1,,,,,,,,,,,382.4,713.4,404.5,73.5,8.5,5,13.5,2.12,,,94.5,-0.5,,,,,,,,,Ðồng bằng sông Hồng,786.9,0.906595501,0.093404499,Hơn 2/3 dân số sống tại Nông thôn
Hà Nam,2009,97.1,13.5,58,468,,,,,,,,,,,383.9,711.3,402.3,74.9,7.8,7.1,14.9,2.07,,,95.4,-10.7,,,,,,,,,Ðồng bằng sông Hồng,786.2,0.90473162,0.09526838,Hơn 2/3 dân số sống tại Nông thôn
